scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.25510190085777534,0.2529630574300038,1,0.029999999999983262,0.029999999999999805,-1.6542323066914832e-14,0.4797161424824269,0.058028850745753785,0.05808828976463181,3.3991142999512114e-05,6.797302016196381e-05,0.1387044601966798,0.14779450853505047,55.48178407867192,59.11780341402019,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,100.0,100.0,1.0,55.48178407867192,0.0,0.0,0.0,0.0,199.18536418291848,165.3817829749637,157.93376860701287,198.98778391718852,0.5020365895427039,0.6051655784824679,0.5865455425625907,0.5025305402070287,"[[0.1387044601966798, 0.36333212934602405], [0.25612996132085236, 0.24183344913644383]]","[[0.26565994890235883, 0.14779450853505047], [0.23180951089061247, 0.35473603167197826]]"
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.4049312967658538,0.40498279295898293,1,0.07000000000000028,0.0700000000000005,-2.220446049250313e-16,0.2277066384842952,0.12734468304277896,0.1293077920772138,0.0722307286493451,0.13205531131145917,0.09379360707994003,0.10296662450060301,18.758721415988006,41.186649800241206,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_1,4,50.0,100.0,2.0,18.758721415988006,0.0,0.0,0.0,0.0,90.01079255359316,147.23617206049406,81.54175234019279,191.37516762275538,0.5499460372320343,0.5922912382990362,0.6319095698487649,0.5215620809431115,"[[0.23603088261101038, 0.31391515462102393], [0.3562603556880258, 0.09379360707994003]]","[[0.21331411340625636, 0.4185954564425085], [0.26512380565063215, 0.10296662450060301]]"
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6190754953458869,1.0826205105742575,1,0.1499999999999999,0.15000000000000047,-5.551115123125783e-16,0.915170497019181,0.2513868051415515,0.14761426677831058,0.022992818173968144,0.04381333281718803,0.07540379596006368,0.0041592163853350255,9.04845551520764,1.9964238649608121,0.0,0.0,0.0,0.0,True,sparse_imbalanced,Sparse and imbalanced,variant_1,4,30.0,120.0,4.0,1.9964238649608121,0.0,0.0,0.0,0.25,55.54220869740131,173.2763143139465,45.716952664198054,146.05607716808254,0.5371482608549892,0.6190253944650164,0.6390076785126115,0.695716505899828,"[[0.4617444648949256, 0.07540379596006368], [0.15728092957009074, 0.3055708095749201]]","[[0.0041592163853350255, 0.3568331051020535], [0.30012427771483696, 0.3388834007977745]]"
random_2x2_d3,0,3,2,2,800,800,0.03,1.0,0.5,0.2841055235301109,0.4227045071170974,3,0.030000000000046212,0.030000000000000082,4.6129766673175254e-14,1.2654326939047986,0.060487893922483105,0.06991867640860254,0.0023142452594488994,0.004649148576355108,0.13208422662301392,0.053194792710446845,105.66738129841113,42.55583416835748,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_2,4,200.0,200.0,1.0,42.55583416835748,0.0,0.0,0.0,0.0,221.0108213491929,93.00521046177242,265.56495448351063,137.71016484625454,0.723736473313509,0.6680438068956118,0.8837434869227845,0.8278622939421819,"[[0.14417930006347723, 0.13208422662301392], [0.18777689304091105, 0.5359595802725979]]","[[0.11894291334737134, 0.7648005735754132], [0.053194792710446845, 0.06306172036676869]]"
random_2x2_d4,0,4,2,2,120,240,0.07,10.0,0.8,0.4718183958344995,1.2960843945765426,1,0.06999999999999695,0.06999999999999995,-2.9976021664879227e-15,0.750450257087963,0.11641429204151521,0.09905603958635242,0.00019704605061088287,0.00039767635614201585,0.042767600968354795,0.0009437839712759577,5.132112116202576,0.22650815310622985,0.0,0.0,0.0,0.25,False,moderate,Moderate,variant_2,4,30.0,60.0,2.0,0.22650815310622985,0.0,0.25,0.0,0.25,42.15846768734015,14.254087768626608,42.32517160366918,72.18587072906695,0.648679435938832,0.6472902366360901,0.9406079676307225,0.6992255386288877,"[[0.30994216239555505, 0.338737273543277], [0.042767600968354795, 0.3085529630928131]]","[[0.24232621297311072, 0.6982817546576118], [0.05844824839800158, 0.0009437839712759577]]"
random_2x2_d5,0,5,2,2,120,480,0.15,2.0,20.0,0.6118247043750241,0.6151420508345405,1,0.14999999999996594,0.1500000000000008,-3.4861002973229915e-14,0.33567490887183127,0.2573024267355912,0.24759891234105771,0.15215559218315822,0.2521371551822227,0.10479508741509884,0.0720055581091215,12.57541048981186,34.56266789237832,0.0,0.0,0.0,0.0,False,sparse_imbalanced,Sparse and imbalanced,variant_2,4,30.0,120.0,4.0,12.57541048981186,0.0,0.0,0.0,0.0,48.6260491903336,204.93382510942615,47.195240148280604,228.14871863879995,0.5947829234138867,0.6067063320976618,0.573054531022029,0.5246901695025002,"[[0.10479508741509884, 0.4899878359987879], [0.28849858048723953, 0.1167184960988738]]","[[0.0720055581091215, 0.35493991086884963], [0.40330427238837835, 0.16975025863365065]]"
stress_2x2_d6,0,6,2,2,157,157,0.1,0.8,0.8,0.7250766451713854,0.6240139646297567,3,0.09999999999999998,0.09999999999999998,0.0,0.5270871368195469,0.13024770050285187,0.15021008708526715,3.1352608390489145e-05,6.272721457612939e-05,0.013388291553398563,0.02563639757037737,2.1019617738835743,4.024914418549247,0.0,0.0,0.0,0.0,False,highly_sparse,Highly skewed and sparse,variant_1,4,39.25,39.25,1.0,2.1019617738835743,0.0,0.0,0.25,0.25,52.14372694993174,65.11378687978629,47.50321643276726,44.84901396279196,0.6678743506373775,0.6974317424664507,0.5852625039504058,0.7143374906828538,"[[0.318737357809224, 0.013388291553398563], [0.37869438465722666, 0.2891799659801509]]","[[0.325236392203637, 0.2600261117467688], [0.3891010984792168, 0.02563639757037737]]"
stress_2x2_d7,0,7,2,2,135,540,0.15,1.0,0.6,0.808848235001936,0.9755383523158638,18,0.15000000000001423,0.15000000000000013,1.4099832412739488e-14,1.3912347004233985,0.27962075512013657,0.16742025237670008,0.011562131290418165,0.022802594670778324,0.03318210790969522,0.007009157141281323,4.479584567808854,3.784944856291914,0.0,0.0,0.0,0.0,False,highly_sparse,Highly skewed and sparse,variant_2,4,33.75,135.0,4.0,3.784944856291914,0.0,0.0,0.25,0.25,23.93594761144478,223.04557968894426,35.66583693953874,149.8411675953392,0.8226966843596683,0.7358086152626759,0.5869526302056587,0.7225163563049273,"[[0.03318210790969522, 0.1441212077306365], [0.7026265073529807, 0.12007017700668753]]","[[0.27047448655379125, 0.3164781436518674], [0.007009157141281323, 0.4060382126530599]]"
stress_2x2_d8,0,8,2,2,125,125,0.1,0.6,0.6,0.9301033364410911,0.9488860696557769,47,0.09999999999999826,0.09999999999999987,-1.609823385706477e-15,1.437516664600937,0.1264772157426407,0.17763971181484736,0.0250548628598376,0.047220412464957395,0.00549947865033551,0.00767566387005708,0.6874348312919387,0.9594579837571351,0.0,0.0,0.0,0.25,False,ultra_sparse,Ultra-skewed and sparse,variant_1,4,31.25,31.25,1.0,0.6874348312919387,0.25,0.25,0.25,0.25,59.0139175137394,11.69833753767821,18.564992601064404,33.508315647392386,0.5278886598900849,0.8514800591914848,0.9064132996985744,0.731933474820861,"[[0.5223891812397494, 0.00549947865033551], [0.3290908779517354, 0.14302046215817973]]","[[0.18215548874777046, 0.724257810950804], [0.0859110364313686, 0.00767566387005708]]"
stress_2x2_d9,0,9,2,2,522,2088,0.15,0.8,0.45,1.488433440330908,1.7190135087635317,80,0.14999999999999997,0.1499999999999998,1.6653345369377348e-16,0.5716900095204864,0.1936496038237559,0.10582621914063786,0.15785483963228186,0.12402462801195166,0.0011089368552799387,0.0002892281559363682,0.578865038456128,0.6039083895951368,0.0,0.0,0.0,0.0,False,ultra_sparse,Ultra-skewed and sparse,variant_2,4,130.5,522.0,4.0,0.578865038456128,0.25,0.25,0.25,0.25,60.65898167316417,498.63620267140595,158.00337829119078,859.142116895849,0.883795054265969,0.6973115358406307,0.7611895581075643,0.5885334689196127,"[[0.6962025989853508, 0.18759245528061833], [0.0011089368552799387, 0.11509600887875104]]","[[0.4111773029244511, 0.3500122551831132], [0.0002892281559363682, 0.23852121373649943]]"
